,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
166,Tanzania,21.0,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,509.0,4.12573673870334
167,Thailand,58.0,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,3297.0,1.7591750075826509
168,Timor-Leste,0.0,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,24.0,0.0
169,Togo,18.0,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,874.0,2.059496567505721
170,Trinidad and Tobago,8.0,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,148.0,5.405405405405405
171,Tunisia,50.0,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,1455.0,3.436426116838488
172,Turkey,5630.0,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,227019.0,2.4799686369863316
173,US,148011.0,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,4290259.0,3.4499315775574386
174,Uganda,2.0,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,1128.0,0.1773049645390071
175,Ukraine,1636.0,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,67096.0,2.438297364969596
176,United Arab Emirates,345.0,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,59177.0,0.5829967723946804
177,United Kingdom,45844.0,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,301708.0,15.194824134593713
178,Uruguay,35.0,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,1202.0,2.9118136439267883
179,Uzbekistan,121.0,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,21209.0,0.5705125182705455
180,Venezuela,146.0,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,15988.0,0.9131848886664998
181,Vietnam,0.0,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,431.0,0.0
182,West Bank and Gaza,78.0,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,10621.0,0.7343941248470013
183,Western Sahara,1.0,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,10.0,10.0
184,Yemen,483.0,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,1691.0,28.562980484920164
185,Zambia,140.0,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,4552.0,3.0755711775043935
186,Zimbabwe,3602.4919786096257,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,6270.491978609625,57.45150445768399
